FUNCTION,FILE,ENGINES,RATIONALE
_replace,opteryx/expression/functions/implementations/text.py,draken;cython,"Uses `vector_replace` on a `StringVector`; handles numpy scalars and byte encoding in Python before calling kernel."
_string_slice_left,opteryx/expression/functions/implementations/text.py,draken;cython,"Delegates to compiled `vector_string_slice_left`; accepts `StringVector` or converts Arrow->Draken."
_string_slice_right,opteryx/expression/functions/implementations/text.py,draken;cython,"Delegates to compiled `vector_string_slice_right`; accepts `StringVector` or converts Arrow->Draken."
_as_arrow_string_array,opteryx/expression/functions/implementations/text.py,pyarrow;numpy;python,"Helper to normalize many input forms (ChunkedArray, Array, to_arrow(), numpy.ndarray, python iterable) to a pyarrow.Array."
_as_string_vector,opteryx/expression/functions/implementations/text.py,draken;pyarrow,"Converts Arrow arrays to Draken `StringVector` (dictionary decode if needed)."
_as_match_vector,opteryx/expression/functions/implementations/text.py,draken;pyarrow;python,"Attempts to produce a `StringVector` fast-path for match/against; Arrow->Draken interop used."
split,opteryx/expression/functions/implementations/text.py,cython;pyarrow,"Single-character+no-limit: compiled `vector_split` (fast); otherwise `pyarrow.compute.split_pattern` fallback."
get_sha224,opteryx/expression/functions/implementations/text.py,python,"Per-item Python hashing via `hashlib`."
get_sha384,opteryx/expression/functions/implementations/text.py,python,"Per-item Python hashing via `hashlib`."
base64_encode,opteryx/expression/functions/implementations/text.py,python;numpy,"Uses third-party base64 encoder per-item with NumPy input coercion to object and encoding bytes."
base64_decode,opteryx/expression/functions/implementations/text.py,python;numpy,"Uses third-party base64 decoder per-item with NumPy input coercion."
get_base85_encode,opteryx/expression/functions/implementations/text.py,python,"Per-item base85 encoding using stdlib base64."
get_base85_decode,opteryx/expression/functions/implementations/text.py,python,"Per-item base85 decoding using stdlib base64."
get_hex_encode,opteryx/expression/functions/implementations/text.py,python,"Per-item hex encoding using stdlib base64 b16 functions."
get_hex_decode,opteryx/expression/functions/implementations/text.py,python,"Per-item hex decoding using stdlib base64 b16 functions."
substring,opteryx/expression/functions/implementations/text.py,python,"Per-row slicing implemented with Python list comprehensions and itertools-based broadcast."
position,opteryx/expression/functions/implementations/text.py,python,"Per-item Python string find with decoding for bytes."
levenshtein,opteryx/expression/functions/implementations/text.py,pyarrow;draken;cython,"Converts inputs to Arrow arrays then to `StringVector` and calls compiled `vector_levenshtein` kernel."
to_char,opteryx/expression/functions/implementations/text.py,python,"Per-item Python conversion using `chr()` in a list comprehension."
to_ascii,opteryx/expression/functions/implementations/text.py,python;pyarrow,"Coerces Arrow to Python list when present then maps to ord() per item."
left_pad,opteryx/expression/functions/implementations/text.py,python,"Per-item Python formatting using `rjust`."
right_pad,opteryx/expression/functions/implementations/text.py,python,"Per-item Python formatting using `ljust`."
match_against,opteryx/expression/functions/implementations/text.py,draken;cython;pyarrow,"If input converts to `StringVector`, calls compiled `vector_match_against`; otherwise Arrow/Python fallbacks used."
_get_dfa_ops,opteryx/expression/functions/implementations/text.py,python;nanobind,"Python-level lru_cache and normalisation; delegates to `opteryx.utils.regex_compiler` which uses native C++ translator when available; returns args for compiled executor."
_normalise_replacement,opteryx/expression/functions/implementations/text.py,python,"Byte-level replacement normalisation implemented in Python."

array_contains,opteryx/expression/functions/implementations/logical.py,python,"Simple Python membership check; converts to set for speed."
if_null,opteryx/expression/functions/implementations/logical.py,numpy;pyarrow,"Converts inputs to NumPy as needed and uses `numpy.where` with null masks; supports Arrow/Draken bridge to numpy."
if_not_null,opteryx/expression/functions/implementations/logical.py,numpy,"Uses `_is_not_null` mask and `numpy.where` to apply replacements when value is not null."
null_if,opteryx/expression/functions/implementations/logical.py,numpy;pyarrow;python,"Converts draken/arrow inputs to numpy and uses boolean masking; raises or handles scalars as needed."

convert_int64_array_to_pyarrow_datetime,opteryx/expression/functions/implementations/temporal.py,pyarrow;numpy,"Determines timestamp unit by min/max range then casts to pyarrow timestamp arrays; uses NumPy for range checks."
date_part,opteryx/expression/functions/implementations/temporal.py,draken;cython;pyarrow,"Compiled-kernel-only path: converts Arrow inputs to Draken vectors and dispatches to `vector_datepart_*` compiled kernels; unsupported inputs raise error (NO FALLBACK)."
trunc_temporal,opteryx/expression/functions/implementations/temporal.py,python;pyarrow,"Delegates to `opteryx.utils.dates.date_trunc` (internal utility), uses Arrow conversions where appropriate."
date_diff,opteryx/expression/functions/implementations/temporal.py,pyarrow;draken;cython,"Uses Arrow compute extractors for some interval types (months/quarters/weeks/years) when available; otherwise converts to Draken vectors and calls compiled `vector_date_diff`."
time_diff,opteryx/expression/functions/implementations/temporal.py,pyarrow;draken,"Alias to date_diff; uses same engine routing."
date_format,opteryx/expression/functions/implementations/temporal.py,python,"Per-element Python strftime applied to values (via vectorized list operations)."
date_floor,opteryx/expression/functions/implementations/temporal.py,pyarrow,"Uses `pyarrow.compute.floor_temporal` for temporal flooring."
from_unixtimestamp,opteryx/expression/functions/implementations/temporal.py,numpy,"Converts epoch seconds to NumPy datetime64[s] array."
unixtime,opteryx/expression/functions/implementations/temporal.py,pyarrow;numpy;python,"Converts Arrow to numpy then handles datetime64/strings; uses NumPy vectorize fallback for string parsing."

_sequence_rows,opteryx/expression/functions/implementations/utility.py,python;pyarrow,"Normalizes sequences to Python lists; supports Arrow arrays, NumPy arrays, lists/tuples."
_as_python_value,opteryx/expression/functions/implementations/utility.py,pyarrow;python,"Coerces value to Python types using `.as_py()` or Arrow `.to_pylist()`."
_normalize_array_row,opteryx/expression/functions/implementations/utility.py,python;numpy,"Normalize a row element to a Python list; supports numpy scalars/arrays and iterables."
_normalize_membership_values,opteryx/expression/functions/implementations/utility.py,python;numpy,"Normalize membership values (used by membership helpers) with numpy/iterable handling."
_coerce_numeric_vector,opteryx/expression/functions/implementations/utility.py,numpy,"Coerces input to a 1D NumPy float32 vector when possible; returns None for invalid shapes/dtypes."
_coerce_text_scalar,opteryx/expression/functions/implementations/utility.py,python,"Coerces scalar to utf8-safe text string (bytes decode) in Python."
_as_text_vector,opteryx/expression/functions/implementations/utility.py,draken;pyarrow,"Attempts to convert input to Draken `StringVector` via Arrow interop; returns None if not possible."
_coerce_numeric_matrix,opteryx/expression/functions/implementations/utility.py,numpy,"Builds dense NumPy 2D matrix of float32 from rows for scoring; returns positions mask as NumPy array."
_coerce_aligned_numeric_matrices,opteryx/expression/functions/implementations/utility.py,numpy,"Builds aligned left/right dense matrices for pairwise scoring; returns valid positions as NumPy array."
_score_numeric_vectors,opteryx/expression/functions/implementations/utility.py,nanobind;numpy,"Tries native `opteryx.compiled.nanobind.vector_search.score_cosine` for speed; falls back to NumPy linear algebra if native missing."
_cosine_similarity_text,opteryx/expression/functions/implementations/utility.py,draken;nanobind;numpy;python,"Tries provider scorer on `StringVector`; otherwise embeds and uses native `vector_search.score_cosine` or NumPy fallback."
cosine_similarity,opteryx/expression/functions/implementations/utility.py,python;numpy;nanobind,"Orchestrates numeric vector scoring (nanobind/NumPy) or text embedding scoring (provider/nanobind/NumPy)."
cosine_distance,opteryx/expression/functions/implementations/utility.py,numpy,"Computes distance as `1 - clip(cosine_similarity)` using NumPy operations."
embed,opteryx/expression/functions/implementations/utility.py,python;external,"Calls embedding provider to produce vectors; per-row Python orchestration of inputs/outputs."
jsonb_object_keys,opteryx/expression/functions/implementations/utility.py,numpy;simdjson;python,"Per-row parsing: if dicts, extract keys in Python; if strings, parse with `simdjson` C-extension; returns numpy array of lists."
humanize,opteryx/expression/functions/implementations/utility.py,python,"Per-item formatting using Python string formatting and thresholds."

# Note: opteryx/expression/functions/implementations/hash_encoding.py currently contains TODOs / no implemented kernels.
