File Path,Line Numbers,Pattern Type,Classification,Frequency,Code Context,Current Usage,Refactoring Priority,Effort,Estimated Impact,Recommended Replacement,Notes
opteryx/compiled/table_ops/hash_ops.pyx,27-44,pyarrow.types.is_* calls,HOT,~10 per chunked column,"pyarrow.types.is_string() is_binary() is_integer()","Type dispatch for hash computation",2-HIGH,LOW,Negligible,Create type wrapper enum,Already compiled efficiently
opteryx/compiled/vector_ops/vector_split.pyx,191-202,pyarrow.array allocation,HOT,1-N per split call,"pa.array([] type=pa.list_()) pa.array([None]*n)","Result array construction (empty/const)",1-CRITICAL,MEDIUM,15-25% split speedup,Use foreign_buffer pattern,String split result path
opteryx/compiled/vector_ops/vector_split.pyx,206-216,pyarrow.array allocation,HOT,1 per split (cold variant),"pa.array(result_list type=pa.list_())","Result array construction (dynamic)",1-CRITICAL,MEDIUM,15-25% split speedup,Use foreign_buffer pattern,String split fallback
opteryx/compiled/vector_ops/vector_split.pyx,255-259,pyarrow.array allocation,HOT,1 per split (iterator variant),"pa.array(results type=pa.list_())","Result array construction (segment)",1-CRITICAL,MEDIUM,15-25% split speedup,Use foreign_buffer pattern,String split iterator variant
opteryx/compiled/vector_ops/vector_split.pyx,389-417,pyarrow.foreign_buffer + Array.from_buffers,HOT,1 per split (fast path),"pa.foreign_buffer() pa.Array.from_buffers()","Zero-copy result construction",1-CRITICAL,MEDIUM-HIGH,0% (already optimal),KEEP AS-IS,Already uses zero-copy pattern; benchmark current
opteryx/compiled/vector_ops/vector_arrow_op.pyx,44-47,numpy.asarray allocation,WARM,1 per arrow_op call,"return numpy.asarray(result dtype=object)","Result array wrapping (cold path)",3-MEDIUM,LOW,Negligible,Keep as-is - cold path,Document JSON op result
opteryx/expression/__init__.py,137-140,numpy.datetime64 type check,WARM,1 per date literal,"isinstance(value numpy.datetime64) value.astype()","Literal date/timestamp conversion",3-MEDIUM,LOW,Negligible,Keep as-is - type system,Date constant handling
opteryx/expression/__init__.py,188-192,pyarrow.compute dispatch,HOT,1 per AND/OR/XOR,"LOGICAL_OPERATIONS[NodeType.AND] = pyarrow.compute.and_","Logical operator function map",2-HIGH,MEDIUM,2-5% WHERE speedup,Create bitwise inline dispatch,Core expression evaluation
opteryx/expression/__init__.py,204-209,numpy.ndarray type check,HOT,1 per evaluate_dnf,".tolist() if isinstance(result numpy.ndarray)","Result array conversion in DNF eval",2-HIGH,MEDIUM,1-3% WHERE speedup,Create unified result handler,Expression evaluation hot loop
opteryx/expression/__init__.py,302-307,numpy.ndarray type check,HOT,1 per short_cut_and,"isinstance(left_result numpy.ndarray) left_result.tolist()","Short-circuit AND result handling",2-HIGH,MEDIUM,1-3% WHERE speedup,Unified result handler,Expression evaluation hot loop
opteryx/expression/__init__.py,350-355,numpy.ndarray type check,HOT,1 per short_cut_or,"isinstance(right_result numpy.ndarray) right_result.tolist()","Short-circuit OR result handling",2-HIGH,MEDIUM,1-3% WHERE speedup,Unified result handler,Expression evaluation hot loop
opteryx/expression/__init__.py,429-445,numpy.array allocation,WARM,1 per literal constant,"return [root.value] * table.num_rows pyarrow.array()","Literal array creation for constants",2-HIGH,MEDIUM,1-2% SELECT speedup,Pre-allocate buffer pools,Constant replication
opteryx/expression/__init__.py,496-500,numpy.asarray + dtype coercion,HOT,1 per invert/not,"centre = numpy.asarray(centre) centre.astype(numpy.bool_)","Boolean type coercion for NOT",2-HIGH,MEDIUM,<1% speedup,Draken bool vector,Expression evaluation
opteryx/expression/__init__.py,543,numpy.array allocation,WARM,1 per list result,"result = numpy.array(result)","Result wrapping for list expressions",3-MEDIUM,LOW,Negligible,Keep as-is - cold path,Result formatting
opteryx/expression/__init__.py,500-504,pyarrow.compute invert,HOT,1 per NOT operation,"return pyarrow.compute.invert(centre)","Boolean inversion (NOT operator)",2-HIGH,MEDIUM,<1% speedup,Inline bitwise_not,Expression boolean ops
opteryx/expression/__init__.py,787-790,numpy.issubdtype check,WARM,1 per evaluation,"numpy.issubdtype(new_column.dtype numpy.datetime64)","Temporal type detection in results",3-MEDIUM,LOW,Negligible,Keep as-is - type inspection,Result type handling
opteryx/expression/binary_operators.py,88-89,numpy.full allocation,WARM,1 per null fill,"return numpy.full(len(array) None)","Null-filled array for missing values",2-HIGH,MEDIUM,<1% speedup,Draken constant buffer,Array access result
opteryx/expression/binary_operators.py,95-97,numpy type checking,WARM,1 per map access,"isinstance(raw_key numpy.bool_) isinstance(...numpy.integer)","Type checking for map key validation",3-MEDIUM,LOW,Negligible,Keep as-is - type system,Type validation
opteryx/expression/binary_operators.py,130-134,isinstance check,WARM,1 per get_element,"isinstance(first_element list pyarrow.ListScalar numpy.ndarray)","Element type detection",3-MEDIUM,LOW,Negligible,Keep as-is - type dispatch,Array element access
opteryx/expression/binary_operators.py,207-223,numpy ufunc dispatch,HOT,1 per binary operation,"Divide: numpy.divide Minus: numpy.subtract Plus: numpy.add","Operator function map for arithmetic",1-CRITICAL,MEDIUM-HIGH,5-15% arithmetic ops,Draken vector kernels or pc.compute,Hot operator dispatch
opteryx/expression/binary_operators.py,253-263,numpy type conversions,WARM,1 per date operation,"isinstance(arr pyarrow.ChunkedArray) isinstance(arr numpy.datetime64)","Type detection for date operations",3-MEDIUM,LOW,Negligible,Keep as-is - type system,Type coercion path
opteryx/expression/binary_operators.py,280-292,numpy.ndarray checks,WARM,1 per string concat,"isinstance(left numpy.ndarray) pyarrow.array(left)","String operation type coercion",3-MEDIUM,MEDIUM,<1% speedup,Direct Arrow conversion,StringConcat result handling
opteryx/expression/binary_operators.py,321-335,OPERATOR_FUNCTION_MAP,HOT,Once per operator type,"'Divide': numpy.divide 'Plus': numpy.add 'ShiftLeft': numpy.left_shift","Full operator function mapping table",1-CRITICAL,MEDIUM-HIGH,5-15% arithmetic ops,Vectorized Draken dispatch,Core operator implementation
opteryx/expression/casts.py,26-40,numpy.ndarray unwrap,WARM,1 per cast,"isinstance(value numpy.ndarray) value.item()","Scalar normalization from ndarray",3-MEDIUM,LOW,Negligible,Keep as-is - type system,Scalar extraction
opteryx/expression/casts.py,105-115,numpy type handling,WARM,1 per array parse,"isinstance(value numpy.ndarray) value.tolist()","Array value parsing and normalization",3-MEDIUM,LOW,Negligible,Keep as-is - type system,Array parsing utility
opteryx/expression/casts.py,240-257,numpy.array wrapping,WARM,1-3 per cast to VARCHAR,"numpy.array(result.to_pylist()) arr.view(numpy.int64)","Cast result conversion and view operations",2-HIGH,MEDIUM,10-20% cast speedup,Direct Draken to Arrow conversion,Cast function hot path
opteryx/expression/casts.py,316-335,numpy.dtype checks,WARM,1-2 per cast to DOUBLE,"arr.dtype == numpy.float64 numpy.issubdtype()","Type checking for double conversions",2-HIGH,MEDIUM,10-20% cast speedup,Draken type queries,Cast function type dispatch
opteryx/types/_null_handling.py,85-92,try/except numpy import,COLD,1 per is_null check,"import numpy as np isinstance(value np.floating) np.isnan()","Defensive NumPy import for null detection",4-LOW,LOW,Negligible,Remove try/except or use pyarrow only,Null type detection
opteryx/types/_null_handling.py,141-148,try/except numpy import,COLD,1 per is_nan check,"isinstance(value np.floating) np.isnan()","Defensive NumPy import for NaN detection",4-LOW,LOW,Negligible,Remove try/except or use pyarrow only,NaN type detection
opteryx/types/_null_handling.py,200-205,try/except numpy import,COLD,1 per is_inf check,"isinstance(value np.floating) np.isinf()","Defensive NumPy import for infinity check",4-LOW,LOW,Negligible,Remove try/except or use pyarrow only,Infinity type detection
opteryx/utils/sql.py,205-215,to_numpy conversion,COLD,1 per regex_match_any,"offsets = chunk.offsets.to_numpy()","Arrow buffer conversion to NumPy array",4-LOW,LOW,Negligible,Use Arrow buffer directly,Regex matching utility (cold)
opteryx/operators/nested_loop_join_node.pyx,73-79,pyarrow.compute null ops,HOT,1 per join,"pc.is_valid() pc.is_nan() pc.and_()","Null mask construction for join filtering",2-HIGH,MEDIUM,1-3% join speedup,Draken bitmap operations,Join null filtering
opteryx/operators/base_plan_node.py,387-388,pyarrow.compute cast,WARM,1 per join plan,"pc.cast(current target_type safe=False)","Join key type casting at plan time",3-MEDIUM,LOW,Negligible,Keep as-is - plan construction,Join plan assembly (not hot)
opteryx/expression/operations/__init__.py,107-112,pyarrow.compute cast,WARM,1-2 per operation,"pyarrow.compute.cast(right_arr pyarrow.float64())","Type promotion for decimal operations",3-MEDIUM,LOW,Negligible,Keep as-is - type system,Type coercion in operations
opteryx/expression/functions/implementations/text.py,501-507,pyarrow.compute cast,WARM,1 per regex_replace,"pyarrow.compute.cast(result pyarrow.string())","Result type casting for string operations",3-MEDIUM,LOW,Negligible,Keep as-is or use Draken cast,Text function result handling
